ID,Date,Time,Comment Level,Username,Opinion,Sentiment,topic_comment,Topic_article,comment
5641bbb0-10d2-47a8-b677-d42335fe7db1,2021-05-11,04:06,0,knielang,neutral,neutral,lockdown,,"𝗦𝗶𝗲𝗯𝗲𝗻-𝗧𝗮𝗴𝗲-𝗜𝗻𝘇𝗶𝗱𝗲𝗻𝘇 𝘀𝗶𝗻𝗸𝘁 𝗮𝘂𝗳 𝟭𝟭𝟱,𝟰 Ist also noch ein sehr langer Weg bis wir bundesweit unter 20 und landesweit unter 35 sind. Auch ist die Positivrate weiterhin viel zu hoch, bei unter 3% haben wir die Lage wieder unter Kontrolle. Noch kontrolliert die Pandemie uns."
43fa62e5-7be1-41e0-9b0c-29ff5c9c6716,2021-03-16,10:11,0,knielang,positive,negative,maßnahmen,maskenpflicht,"Viel Aufregung um relativ wenig, ab nächster Woche wird weiter geimpft. Nicht nur in D, auch in der EU steigt die Inzidenz, auf jetzt 205. Priorität hat das Verhindern von Infektionen, durch Abstand, Maske tragen, Hygiene und viel mehr testen. Da müssen wir noch besser werden und wer da nicht konsequent mitmacht hat auch kein Recht zu jammern."
84d8adc0-50b8-446d-b21d-58e95d8668dd,2021-03-17,12:04,0,knielang,negative,negative,politik,überblick,"Da fragen sich jetzt viele Deutsche warum sind andere Länder so sehr viel konsequenter bei der Pandemiebekämpfung und warum handeln wir weiterhin so inkonsequent?  Uns mangelt es an Disziplin, wir haben auch noch nicht so stark unter der Pandemie gelitten wie andere Länder. Das wird gerne verdrängt."
c1f26daa-043f-422e-8cdf-d9f91044d399,2020-07-24,16:53,0,knielang,neutral,neutral,inzidenz,inzidenz,"Vor 2 Wochen lag das gleitende 7-Tage-Mittel bei 350, vor einer Woche bei 380, jetzt bei 477 Fällen. Wir waren schon einige Male unter 300, da sollten wir auch wieder hin."
b1c14ced-a163-40d7-8639-20f0971be1fa,2021-06-11,07:57,0,knielang,neutral,negative,wirtschaft,überblick,Ein niedriges Infektionsgeschehen ist gut für die Wirtschaft. Wer hätte das gedacht?
43acd416-2f97-42b6-8ab5-116f5990a0f7,2021-06-24,17:18,0,knielang,positive,neutral,maßnahmen,überblick,"»Meine These lautet: Wenn wir frühzeitige Maßnahmen gegen die Pandemie ergreifen können, die sehr hart und womöglich zu diesem Zeitpunkt nicht verhältnismäßig gegenüber den Bürgern sind, dann könnten wir eine Pandemie schnell in die Knie zwingen.«   Nein, das wäre vollkommen verhältnismäßig. Noch wichtiger ist das früh und konsequent gehandelt wird. Australien hat es vorgemacht. Die hatten dieses Jahr 1 Covidtoten, wir 55.000. War das ""verhältnismäßig""?"
a5d28f2a-93c8-4a65-972b-47804bbb9125,2021-02-15,19:30,0,knielang,positive,neutral,maßnahmen,überblick,"»Wenn hier nicht alle vorsichtig sind, sind wir schnell wieder in einem exponentiellen Wachstum«, warnte Kurz. Er zeigte sich zugleich optimistisch, durch viele Tests das Infektionsgeschehen unter Kontrolle zu halten.  Zumindest hat er die Herausforderung verstanden."
43dc40cc-f273-446c-9891-d86eec8ae387,2021-01-14,22:03,0,knielang,neutral,neutral,infektion,überblick,"Gouverneur Nelson Lima kündigte landesweite Ausgangssperre zwischen 19 und 6 Uhr an, um die Ausbreitung des Coronavirus in einer verheerenden zweiten Welle zu stoppen.  In einigen Medien wurde im Sommer darüber spekuliert ob Manaus der erste Ort der Welt sei der Herdenimmunität erlangt habe. Offensichtlich nicht. Die Mortalität ist jetzt leider deutlich höher."
0abc42cd-95a4-4d7c-9ce7-c367a66306e3,2021-03-11,14:31,0,knielang,positive,negative,impfung,impfung,Vor schweren Krankheitsverläufen schützen allerdings alle Impfstoffe mit nahezu absoluter Sicherheit.  Diesen Satz wird man noch ein paar Millionen Male wiederholen müssen. Bei unseren Spezialbegabten kann nicht erwartet werden dass sie es bereits nach dem 20. Mal verstanden haben.
dc560e1e-1b01-4bca-aac5-d1b5b3bf0e45,2021-02-13,14:59,0,knielang,neutral,neutral,infektion,überblick,Die Infektionszahlen bei Fußballern liegen deutlich über dem Bundes-Durchschnitt.
