ID,Date,Time,Comment Level,Username,Comment
c62d3cef-e54b-4612-9f18-56dd39785e3a,2021-03-13,00:44,0,Frietjoff,"Statt in den Joe Biden versprochenen 100 Tagen hat es 51 Tage gedauert, in den USA 100 Mio. Dosen zu verimpfen.   Als Biden »100 jabs in 100 days« versprach, hatten viele noch gewarnt: Das würde nur was werden, wenn alles perfekt lief. Bei Logistik- oder Lieferkettenproblemen, die immer drohten und oft unvermeidlich seien, drohte das Versprechen zum PR-Desaster zu werden. Und jetzt ging es sogar doppelt so schnell wie versprochen.   Und statt sich auf den Lorbeeren auszuruhen, schraubt Biden die Ansprüche weiter nach oben. Erst vor einigen Tagen kam die Ankündigung, dass der Johnson&Johnson-Impfstoff bereit wäre und damit vor allem Lehrer geimpft werden sollten. Vorgestern wurden hier (ich lebe in den USA) in der Region die noch nicht anderweitig geimpften Lehrer geimpft.   Ich muss sagen, Biden hat viele (und mich auch) überrascht. Vielleicht ist der Umstand, dass er alt genug ist, um sich noch an das ursprünglich für völlig unmöglich erachtete Versprechen Kennedys zu erinnern, in 10 Jahren auf dem Mond zu stehen, heute etwas Positives statt eine Hypothek zu sein. "
5c91f154-64cc-4ac7-9ab1-576bbfbdd409,2020-11-01,14:12,0,Frietjoff,"Die Eltern sollen weiter arbeiten können.  Nur darum geht’s. Danke für die Ehrlichkeit!   Dass Schulkinder irreparablen Schaden nehmen, wenn sie ein paar Wochen (so lange wie ein umfassender Shutdown eben dauern müsste, um die Pandemiezahlen wieder auf Sommerniveau zu drücken) online unterrichtet werden, ist nämlich Quark.   (Für Kinder mit schwerwiegenden Behinderungen ist das teilweise anders. Das muss es dann selbstverständlich auch angepasste Regelungen geben.)"
869e1f82-3a10-415c-a01a-4173d8435773,2020-06-01,10:30,0,Frietjoff,"Ich verstehe überhaupt nicht, wie man das jetzt schon beurteilen kann.   Wir haben dank strenger Einschränkungen jetzt sehr wenige Neuinfektionen. Selbst wenn wir jetzt alle Einschränkungen komplett zurücknehmen würden, wären wir epidemiologisch etwa da, wo wie im März waren. Da hat es doch auch eine Weile gedauert, bis die Kurze exponentiell steil nach oben zeigte.   Es ist einfach noch zu früh, um zu wissen, welchen Effekt die Lockerungen haben. "
3d627f77-84e2-4e94-bfd1-27e16f5fa78b,2021-07-13,15:30,0,Frietjoff,"Nach dem vielen Hin und Her der letzten 15 Monate (was nicht immer unvermeidbar war, denn die Situation hat sich ja verändert) besteht jetzt die Chance, sehr konsequent auf ein Ziel hinzuarbeiten, dessen Erreichen die Pandemie nachhaltig beendet: eine ausreichend hohe Impfquote.   Da ist es dann auch sinnvoll, voll Geimpfte ungehindert reisen zu lassen, während freiwillig Ungeimpfte dann immer wieder (kostenpflichtige) Tests machen müssen.   Das sehr geringe Restrisiko, das von Geimpften immer noch ausgeht, wird dabei durch die erreichte höhere Impfquote mehr als wettgemacht. "
443b6cb5-a6cd-4891-a94a-62176214ad00,2020-05-05,21:34,0,Frietjoff,"Im Moment ist es leider notwendig, Grundrechte zielgerichtet und zeitlich begrenzt einzuschränken.  Wo genau ist da jetzt das »Paradox«?"
b258f287-437a-47d8-a7be-c811be056c73,2021-05-11,13:15,0,Frietjoff,"> In Israel sind bisher knapp 59 Prozent der Bevölkerung vollständig geimpft, in Deutschland etwas über neun Prozent  Das stimmt nicht ganz. Hier die Zahlen für Israel und Deutschland (teilweise | vollständig):  🇮🇱 59.9%"
a1840638-ac61-4215-8505-b814417a52fb,2020-08-17,14:30,0,Frietjoff,"60 !!! Sekunden gurgeln? Ich wüsste nicht, ob _ich_ das verlässlich könnte, ohne mich zu verschlucken. Ob das bei 15.000 Kindern so gut klappt?  Prinzipiell ist es natürlich gut, wenn Schüler getestet werden."
12d8670f-3353-4c40-83d8-e9fdf3db593a,2020-12-20,15:23,0,Frietjoff,"»Jeder zusätzliche Tag Lockdown in den Schulen führt zu einem Anstieg häuslicher Gewalt«  Umgekehrt wird ein Schuh draus: Jeder zusätzliche Tag erzwungener Normalität zieht einen weiteren oder sogar mehrere Tage Lockdown nach sich.   Würden wir das Leben ein paar Wochen wirklich konsequent runter fahren, könnten wir das Infektionsgeschehen auf praktisch null senken und wirklich zur Normalität zurück kehren. (Es gibt genug Länder, die keine totalitären Diktaturen sind, die das vorgemacht haben. Ja, eine konsequente Grenzschließung – für einige Wochen, nicht für immer – gehört dazu.)  Natürlich sind die Risiken von häuslicher Gewalt und Bildungsverlust real. Aber es macht eben einen Riesenunterschied, ob das Risiko ein paar Wochen erhöht ist oder oder (fast?) 2 Jahre lang."
e8f28505-c5be-4a73-962c-152d09d21ee9,2020-12-26,15:12,0,Frietjoff,"Ich lebe mit meiner Familie gerade in den USA (ja, ja, ich weiß, »Glück« gehabt, gerade zu Tr*mp-Zeiten 🙄). Ich bin mir sicher, dass hier keine besonderen Impfzentren aufgebaut werden (müssen). Warum auch?  Anfang Oktober habe ich mich beim Einkaufen im Supermarkt gegen Grippe impfen lassen. Ohne Termin, ohne (vorherigen) Papierkram. Jede Drogerie (sowas wie Rossmann) ist hier auch eine Apotheke. Die meisten großen Supermärkte haben dann auch Apotheken direkt im Laden. Überall kann man sich impfen lassen. Wem das noch zu kompliziert ist, der kann es auch auf Arbeit machen. Da kommt (wenn pandemiebedingt nicht gerade fasst alle von zu Hause arbeiten) im Herbst jemand vorbei, der gegen Grippe impft. Und in den unzähligen Arztpraxen und Kliniken geht das natürlich auch. Ich bin mir sicher, dass es mit den Covid-Impfungen auch so funktionieren wird. Ein Freund (Traumachirurg) wurde schon geimpft, irgendwann während seiner Schicht, ohne viel Tamtam.   Ich bin schon sehr gespannt, wer unter meinen nicht priorisierten Verwandten (in Deutschland, den USA und anderen Ländern) eher seine Impfung bekommt.   (Ja, Tr*mp hat so ziemlich alles verbockt, was sich verbocken ließ, aber die Impfstoffverteilung für die Allgemeinheit organisiert dankenswerterweise ja die nächste Regierung.)"
f1976504-bec2-4a95-891f-0d40a6301985,2021-03-06,22:30,0,Frietjoff,"»Dabei gilt unter anderem, dass im Innenbereich nur Gäste mit Grünem Pass bedient werden dürfen.«  Das wünsche ich mir so sehr. Schon um die Leerdenker, die wegen ihrer Renitenz das letzte, fürchterliche Jahr ja in hohen Maße mitzuverantworten haben, mal so richtig anfeixen kann, während sie sich draußen einen abfrieren oder -schwitzen, während meine rationalen Freunde und ich uns drin einen gemütlichen Abend machen. "
