,ID,Date,Time,Comment Level,Username,Comment,TimeLabel,PREDICTIONS
0,d020632f-7933-4e94-9120-d552787bfc97,2020-01-29,17:18,0,Michael Thomas-lewx5fMWR,Ohne die Video-Kolumnen von Harald Schmidt ist Spiegel+ nur die Hälfte wert.  ,2020-01,neutral
1,39a0e510-4a89-4871-8c08-675253f60f55,2020-01-29,18:34,0,Andreas-EzaPr7PWg,"Zu 'Europa': Italien holt eigene Bürger ohne Quarantäne zurück (falls der ALITALIA-Flieger abheben kann). Davon abgesehen: Wollen wir wetten, wo's in Bella Italia zuerst knallt!? In den von China-Kulis angelegten unterirdischen Produktionsstädten wie Prato oder Pistoia? Oder doch in Milano oder Rom?",2020-01,negative
2,16505dcd-2af6-4edb-a042-4e4e7d70e384,2020-01-30,19:58,0,Lai-Q-zAhUyZg,"Ich bin Chinese, in Deutschland aufgewachsen. Habe verwandte in ganz Asien. Niemand ist in Panik. Informieren sich, bereiten sich zivilisiert auf einen eventuellen Notfall vor. Better safe than sorry. In Deutschland, alle die ich treffe sind genervt, reden von Panikmache, trauen weder WHO noch andere seriöse Medien. Spricht man darüber, ist man Hetzer und Panikmacher. Fakt ist, niemand will sich ernsthaft damit auseinandersetzen. Es geht nicht über die Fatalität dieses Virus, sondern über die Höhe Infektiösität. Man braucht keine Symptome haben und kann trotzdem als Träger den Virus weitergeben. Warum Panik, wenn eh ungefährlich? Menschen mit Diabetes etc und geschwächten Immunsystem werden schlichtweg dahin gerafft. Davon gibt es zahlreiche. Diese Verweigerungsmentalität kenne ich nur aus Deutschland. Ich bin besorgt, keineswegs panisch, aber hier will man sich in Lager spalten, anstatt informierter Bürger zu sein. Die Panik kommt noch, sobald der erste im direkten Umkreis betroffen ist. ",2020-01,negative
3,17d70288-473e-47aa-845b-8968f33c8501,2020-01-29,10:32,0,kokodemokrat,"man könnte wohl sagen, es begann im Labor und endet im Labor. die Mär vom Wuhan-Markt als Entstehungsort des Virus nimmt keiner den Chinesen ab, in der Faz wird das sogar schon öffentlich abgestritten mit Hinweis auf erste Untersuchungsergebnisse. in Wuhan ist dagegen ja das Bio-Labor mit der höchsten Sicherheitsstufe installiert. das ist kein Zufall...",2020-01,neutral
4,3bb0e4b8-19bb-4f6b-af02-800b64938952,2020-01-29,13:09,0,Peter-E_9gqGEZg,"Warum dauert so etwas überhaupt so lange, bis man die Leute zurück holt? Ich ging davon aus, daß hier Fachleute am Werk sind und sofort handeln und nicht erst ewig rumlabern um dann irgendwann mal zu handeln. Na, das läßt ja hoffen für die nächste Katastrophe. Fachleute, is klar.",2020-01,negative
5,17424f5f-e3a6-45c8-9ed7-8ffd1542f468,2020-01-29,15:36,0,Im_Traum_erschien_mir_Angela_Merkel,Tststs... Die Lufthansa hat wohl den Artikel auf SPON gestern nicht gelesen.  Die Influenza Grippe rafft hierzulande viel mehr Leute hin und trotzdem werden wir angeflogen...,2020-01,neutral
6,31eddd7e-148d-4e2e-8d4f-840318a54d75,2020-01-31,07:22,0,Paul_B,"Bei allem Respekt für das Virus und die Gefahr, aber was soll die Panikmache?  Die Zahl ist überhaupt nicht überraschend und „sprunghaft“ angestiegen.  Seit fünf Tagen wächst die Zahl der Infizierten ziemlich linear und das war gestern nicht anders. Lineares Wachstum ist per Definition nicht sprunghaft und für die Ausbreitung der Krankheit tatsächlich ziemlich gut, denn es bedeutet, dass wir entweder nur langsam die bereits infizierten finden ohne allzu viele Neuansteckungen oder dass der R0-Wert tatsächlich um 1 liegt. Beide Varianten sind positiv zu bewerten.  Schade dass auch der Spiegel auf den Panikzug aufspringt, statt das ganze etwas sachlicher anzugehen...",2020-01,negative
7,3e4642e2-af1c-465d-ae76-2b1b3ef83e41,2020-01-26,10:23,0,PoliTische,"Jeder ist sich selbst der Nächste! Das ist das Gebot der Stunde, zumindest dort, wo Infektionskrankheiten grassieren. Absolute Hygiene! Zum Eigenschutz Menschenansammlungen meiden, Mundschutz tragen, nicht an Mund und Augen fassen  Hände waschen, vor allem vor dem essen. Zum Schutz der Allgemeinheit, bei den ersten Anzeichen einer ansteckenden Erkrankung zuhause bleiben! Den Hausarzt kommen lassen und nicht andere Patienten in der Praxis anstecken! Husten und Niesen in die Armbeuge, nicht in die Hände oder gar in die Gegend spucken. Einen Mundschutz tragen!! ",2020-01,negative
8,de833b33-3cde-472b-be83-74721591bedf,2020-01-23,19:57,0,demokroete,"Das ist wieder typisch für die 'westlichen' Medien. Als es bei der letzten SARS Pandemie lange gedauert hat, bis die Gesundheitsbehörden einen Plan hatten, wurde den Chinesen 'Verheimlichung' vorgeworfen. Diesmal reagieren zielgerichtet, effektiv und schnell, da schwingt gleich wieder der Unterton in der Berichterstattung 'die berauben die armen Menschen dihrer Reisefreiheit'. Nein, die chinesischen Behörden haben das genau richtig gemacht und die Milliarden-Bevölkerung sieht das völlig ein. Das muss erst einmal ein 'westlicher' Staat nachmachen.",2020-01,negative
9,868b294f-1a4a-419a-927b-9194a90b9430,2020-01-25,14:44,0,Hans Albert-KQEwO_PZg,"Ausländer sind nicht mehr wert als 40 Millionen Chinesen. Also müssen alle bleiben, bis die Gefahr vorüber ist.",2020-01,neutral
10,39a0e510-4a89-4871-8c08-675253f60f55,2020-01-29,19:18,0,Voiceecho,"Nun ja, ich habe vor einigen Tagen hier im Forum einen Flugstopp angeregt. Ich finde es nach wie vor etwas merkwürdig, was die Reaktionszeiten der WHO und den einzelnen Ländern angeht.  Auch wenn man seit Tagen beschwichtigt, muss man festhalten, dass sie Infektionen steigen sowie die Anzahl der Verstorbenen.  Man hat nicht das Gefühl, dass die chinesischen Behörden die Infektion im Griff hat, eher ist es so, dass anscheinend man nicht genau weiß, wie viele Fälle genau gibt und mit absucht Informationen enthält.  Diese Politik ist der Boden, auf dem die Verschwörungstheorien wachsen! Auch wenn China teilweise dafür gelobt wird, dass man einwenig „informationsfreudiger“ als vor 15 Jahren zur Sars-Krise war, China hat bis heute keine internationalen Experten ins Land gelassen, obwohl die Chinesen ganz genau wissen, dass je länger die Epidemie dauert, desto die Situation sowohl wirtschaftlich als auch politisch sich weiter zuspitzen würde. Ich bin gespannt, was die nächsten Tage bringen.  ",2020-01,neutral
11,ce9d45f4-8955-4954-8303-92f3703ade9d,2020-01-25,13:49,0,Ulrich-V-2y5oEWg,"In den Infos des Auswärtigen Amtes steht aktuell:  ""Verschieben Sie nicht notwendige Reisen in die betroffenen Gebiete.""",2020-01,neutral
12,17424f5f-e3a6-45c8-9ed7-8ffd1542f468,2020-01-29,16:59,0,Paul-rApVXUsWg,"Stoppt alle Flüge, dann brauchen wir keine Energiedebatte mehr, und das Klima ist gerettet.",2020-01,neutral
13,47a6eb13-5284-4af0-aca1-63e4d099d076,2020-01-31,17:37,0,Hannah-mZb6mzUWg,"Weiß irgendjemand zufällig, wie hoch die Gefahr bei Transferflügen ist? Wir wollten eigentlich Mitte Februar von Düsseldorf über Peking nach Vietnam fliegen, sind nun allerdings sehr verunsichert und finden außer den generellen Warnungen vor Reisen nach China keine Informationen über Transferflüge. ",2020-01,neutral
14,16505dcd-2af6-4edb-a042-4e4e7d70e384,2020-01-31,07:04,0,Alternativlos,"Wo ist die nationale Kontrollgruppe für den Beweis, dass das Virus mit Weltgesundheitsnotstand sich wesentlich langsamer fortbewegt?   WHO bewahre - Das würde ja für die andere Hälfte der Population ein totales nationales Gesundheitssystem bedeuten.  Nur welche Hälfte ...  Weiterhin Alles Gute",2020-01,negative
15,3bf1fca7-dcec-4460-9b07-2b4c645406c3,2020-01-23,09:55,0,5mark,"Ich frage mich, wie vielen Menschen klar ist, dass die Masken nicht die Träger schützen, sondern vielmehr dem Schutz der anderen Menschen dienen.",2020-01,neutral
16,2a747240-7fb9-4ade-8b3e-d8eb8f309e3e,2020-01-31,16:20,0,Markus -5yrRIoEWg,"Wie doof muss man eigentlich sein als Firmenchef, wenn man solche ""political corectnes"" Sprüche von sich gibt. Dabei meint es das Gesundheitsamt doch nur gut mit den Angehörigen und will jegliches Sicherheitsrisiko so gering wie möglich halten um eine weitere Ausbreitung zu verhindern. Gottseidank obliegt in solchen Situationen die Gesundheit der Mitarbeiter nicht beim Firmenchef. Kopfschüttel...",2020-01,negative
